filename,width,height,class,xmin,ymin,xmax,ymax
X1.png,220,220,STOP_SIGN,80,5,115,77
X10.png,220,220,STOP_SIGN,157,34,183,78
X100.png,220,220,STOP_SIGN,103,11,176,126
X101.png,220,220,STOP_SIGN,122,54,171,142
X102.png,220,220,STOP_SIGN,81,37,178,196
X103.png,220,220,STOP_SIGN,47,5,105,84
X104.png,220,220,STOP_SIGN,143,13,190,85
X105.png,220,220,STOP_SIGN,87,78,138,106
X106.png,220,220,STOP_SIGN,57,17,156,202
X107.png,220,220,STOP_SIGN,150,23,193,105
X108.png,220,220,STOP_SIGN,68,29,134,83
X109.png,220,220,STOP_SIGN,85,63,115,108
X11.png,220,220,STOP_SIGN,128,34,178,102
X110.png,220,220,STOP_SIGN,143,14,189,85
X111.png,220,220,STOP_SIGN,94,47,111,69
X112.png,220,220,STOP_SIGN,102,35,125,53
X113.png,220,220,STOP_SIGN,43,68,57,96
X114.png,220,220,STOP_SIGN,117,68,136,79
X115.png,220,220,STOP_SIGN,117,67,136,79
X116.png,220,220,STOP_SIGN,112,10,158,74
X117.png,220,220,STOP_SIGN,57,96,71,118
X118.png,220,220,STOP_SIGN,138,39,168,78
X119.png,220,220,STOP_SIGN,135,1,167,42
X12.png,220,220,STOP_SIGN,181,26,214,75
X120.png,220,220,STOP_SIGN,109,86,138,119
X121.png,220,220,STOP_SIGN,84,10,206,135
X122.png,220,220,STOP_SIGN,58,16,156,82
X123.png,220,220,STOP_SIGN,36,26,188,186
X124.png,220,220,STOP_SIGN,135,58,160,92
X125.png,220,220,STOP_SIGN,124,56,173,122
X126.png,220,220,STOP_SIGN,33,40,109,160
X127.png,220,220,STOP_SIGN,130,38,163,95
X128.png,220,220,STOP_SIGN,20,13,39,44
X129.png,220,220,STOP_SIGN,82,24,147,143
X13.png,220,220,STOP_SIGN,6,9,26,41
X130.png,220,220,STOP_SIGN,126,1,169,84
X131.png,220,220,STOP_SIGN,89,99,106,120
X132.png,220,220,STOP_SIGN,102,16,130,77
X133.png,220,220,STOP_SIGN,24,49,45,81
X134.png,220,220,STOP_SIGN,176,22,207,63
X135.png,220,220,STOP_SIGN,47,70,64,92
X136.png,220,220,STOP_SIGN,52,92,64,127
X137.png,220,220,STOP_SIGN,169,47,194,77
X138.png,220,220,STOP_SIGN,108,103,120,140
X139.png,220,220,STOP_SIGN,74,19,149,152
X14.png,220,220,STOP_SIGN,41,14,74,63
X140.png,220,220,STOP_SIGN,146,40,163,71
