filename,width,height,class,xmin,ymin,xmax,ymax
X1.png,300,300,STOP_SIGN,40,21,127,157
X10.png,300,300,STOP_SIGN,41,53,122,166
X100.png,300,300,STOP_SIGN,213,6,275,84
X101.png,300,300,STOP_SIGN,63,154,175,230
X102.png,300,300,STOP_SIGN,115,33,209,213
X103.png,300,300,STOP_SIGN,97,74,208,152
X104.png,300,300,STOP_SIGN,51,13,282,281
X105.png,300,300,STOP_SIGN,124,124,241,220
X106.png,300,300,STOP_SIGN,95,54,207,200
X107.png,300,300,STOP_SIGN,194,172,261,261
X108.png,300,300,STOP_SIGN,82,21,217,117
X109.png,300,300,STOP_SIGN,66,144,206,283
X11.png,300,300,STOP_SIGN,149,37,252,179
X110.png,300,300,STOP_SIGN,71,156,201,254
X111.png,300,300,STOP_SIGN,131,50,215,172
X112.png,300,300,STOP_SIGN,140,9,243,174
X113.png,300,300,STOP_SIGN,113,28,233,194
X114.png,300,300,STOP_SIGN,61,21,119,111
X115.png,300,300,STOP_SIGN,169,28,243,134
X116.png,300,300,STOP_SIGN,86,30,264,274
X117.png,300,300,STOP_SIGN,59,21,129,123
X118.png,300,300,STOP_SIGN,174,27,227,87
X119.png,300,300,STOP_SIGN,218,12,291,118
X12.png,300,300,STOP_SIGN,89,52,199,186
X120.png,300,300,STOP_SIGN,129,33,258,267
X121.png,300,300,STOP_SIGN,168,77,236,143
X122.png,300,300,STOP_SIGN,176,41,262,195
X123.png,300,300,STOP_SIGN,151,3,272,181
X124.png,300,300,STOP_SIGN,148,140,265,232
X125.png,300,300,STOP_SIGN,180,17,255,103
X126.png,300,300,STOP_SIGN,172,1,232,116
X127.png,300,300,STOP_SIGN,120,52,190,181
X128.png,300,300,STOP_SIGN,45,59,273,205
X129.png,300,300,STOP_SIGN,41,36,123,146
X13.png,300,300,STOP_SIGN,18,48,76,140
X130.png,300,300,STOP_SIGN,117,65,225,147
X131.png,300,300,STOP_SIGN,161,35,224,148
X132.png,300,300,STOP_SIGN,43,30,164,188
X133.png,300,300,STOP_SIGN,81,24,214,148
X134.png,300,300,STOP_SIGN,125,54,227,124
X135.png,300,300,STOP_SIGN,46,40,123,159
X136.png,300,300,STOP_SIGN,173,1,253,135
X137.png,300,300,STOP_SIGN,104,55,200,119
X138.png,300,300,STOP_SIGN,107,34,194,90
X139.png,300,300,STOP_SIGN,81,24,215,148
